PositionLon,PositionLat,RoadID,RoadName,BIGVOLUME,BIGSPEED,CARVOLUME,CARSPEED,MOTORVOLUME,MOTORSPEED,AVGSPEED,FREESPD,InfoTime,InfoData
121.52276,25.0682,600028A,中山北路三段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 11:46:00,2020-01-14
121.52449,25.1048,600031A,中山北路六段,0.0,0.0,1.0,49.0,0.0,0.0,49.0,1.0,2020-01-14 02:02:00,2020-01-14
121.52276,25.08181,600374A,承德路四段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 22:48:00,2020-01-14
121.52106,25.06842,600525A,民族西路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 01:47:00,2020-01-14
121.61419,25.06355,200090,環東大道,0.0,0.0,2.0,89.0,0.0,0.0,89.0,1.0,2020-01-14 03:11:00,2020-01-14
121.5446,25.04768,600095A,八德路二段,0.0,0.0,9.0,33.0,0.0,0.0,33.0,10.0,2020-01-14 18:00:00,2020-01-14
121.53825,25.03732,200040,建國南北快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 05:28:00,2020-01-14
121.55909,25.03773,600062A,仁愛路四段,0.0,0.0,1.0,64.0,0.0,0.0,64.0,0.0,2020-01-14 22:38:00,2020-01-14
121.49873,25.10583,200050,洲美快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 03:33:00,2020-01-14
121.52283,25.0328,600468A,杭州南路二段,2.0,30.0,5.0,31.0,0.0,0.0,30.0,10.0,2020-01-14 15:47:00,2020-01-14
121.53014,25.0435,200080,新生高架道路,0.0,0.0,5.0,56.0,0.0,0.0,56.0,2.0,2020-01-14 16:08:00,2020-01-14
121.54427,25.02479,600150A,和平東路二段,0.0,0.0,1.0,57.0,0.0,0.0,57.0,0.0,2020-01-14 00:26:00,2020-01-14
121.55465,25.02207,600151A,和平東路三段,0.0,0.0,1.0,28.0,0.0,0.0,28.0,1.0,2020-01-14 05:30:00,2020-01-14
121.54173,25.05808,600539A,民生東路三段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 04:06:00,2020-01-14
121.54447,25.07721,600890A,大直橋,0.0,0.0,7.0,55.0,0.0,0.0,55.0,7.0,2020-01-14 19:08:00,2020-01-14
121.51533,25.02814,600827A,重慶南路三段,0.0,0.0,0.0,0.0,1.0,53.0,53.0,0.0,2020-01-14 07:24:00,2020-01-14
121.55233,25.0316,600219A,安和路二段,0.0,0.0,7.0,35.0,0.0,0.0,35.0,8.0,2020-01-14 09:35:00,2020-01-14
121.52449,25.1048,600031A,中山北路六段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 04:00:00,2020-01-14
121.54308,25.03184,600322A,復興南路二段,0.0,0.0,8.0,40.0,0.0,0.0,40.0,6.0,2020-01-14 17:51:00,2020-01-14
121.53986,25.05466,600848A,長春路,0.0,0.0,18.0,34.0,0.0,0.0,34.0,18.0,2020-01-14 12:05:00,2020-01-14
121.53374,25.02222,200040,建國南北快速道路,0.0,0.0,1.0,120.0,0.0,0.0,120.0,0.0,2020-01-14 00:25:00,2020-01-14
121.55899,25.03762,600062A,仁愛路四段,0.0,0.0,12.0,57.0,0.0,0.0,57.0,5.0,2020-01-14 12:04:00,2020-01-14
121.52987,25.06451,600141A,吉林路,0.0,0.0,2.0,41.0,0.0,0.0,41.0,2.0,2020-01-14 20:52:00,2020-01-14
121.50739,25.08266,200100,環河快速道路,0.0,0.0,15.0,67.0,0.0,0.0,67.0,11.0,2020-01-14 13:34:00,2020-01-14
121.51944,25.0577,600542A,民生西路,0.0,0.0,8.0,27.0,0.0,0.0,27.0,11.0,2020-01-14 19:20:00,2020-01-14
121.54647,25.04141,600336A,忠孝東路四段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 03:06:00,2020-01-14
121.61079,25.06504,600909A,南湖大橋,1.0,31.0,5.0,49.0,0.0,0.0,46.0,5.0,2020-01-14 21:58:00,2020-01-14
121.5131,25.06202,600822A,重慶北路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 06:05:00,2020-01-14
121.53949,24.9886,600673A,羅斯福路六段,1.0,54.0,9.0,41.0,0.0,0.0,42.0,8.0,2020-01-14 13:37:00,2020-01-14
121.51461,25.0492,200020,市民大道高架道路,2.0,19.0,28.0,43.0,0.0,0.0,41.0,38.0,2020-01-14 11:21:00,2020-01-14
121.53257,25.02268,600794A,辛亥路一段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 06:04:00,2020-01-14
121.545,25.02038,600796A,辛亥路三段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 13:43:00,2020-01-14
121.5403,24.99852,600672A,羅斯福路五段,5.0,41.0,37.0,41.0,0.0,0.0,41.0,39.0,2020-01-14 18:17:00,2020-01-14
121.54658,25.01958,600796A,辛亥路三段,0.0,0.0,3.0,50.0,0.0,0.0,50.0,2.0,2020-01-14 17:48:00,2020-01-14
121.53906,25.06812,600523A,民族東路,0.0,0.0,3.0,46.0,0.0,0.0,46.0,3.0,2020-01-14 16:54:00,2020-01-14
121.55188,25.03694,600218A,安和路一段,0.0,0.0,7.0,34.0,0.0,0.0,34.0,7.0,2020-01-14 17:27:00,2020-01-14
121.55232,25.06154,600530A,民權東路四段,0.0,0.0,2.0,30.0,0.0,0.0,30.0,2.0,2020-01-14 00:04:00,2020-01-14
121.49862,25.1114,200050,洲美快速道路,0.0,0.0,11.0,71.0,0.0,0.0,71.0,3.0,2020-01-14 08:24:00,2020-01-14
121.61079,25.06504,600909A,南湖大橋,0.0,0.0,1.0,48.0,0.0,0.0,48.0,1.0,2020-01-14 03:40:00,2020-01-14
121.51268,25.03384,600826A,重慶南路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 21:10:00,2020-01-14
121.57242,25.06735,200070,堤頂大道,0.0,0.0,2.0,59.0,0.0,0.0,59.0,2.0,2020-01-14 17:58:00,2020-01-14
121.51197,25.08786,600043A,中正路,0.0,0.0,6.0,57.0,0.0,0.0,57.0,3.0,2020-01-14 05:31:00,2020-01-14
121.53935,25.02522,600150A,和平東路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 22:49:00,2020-01-14
121.4911,25.03639,600737A,華江大橋引道,1.0,38.0,26.0,36.0,1.0,38.0,36.0,37.0,2020-01-14 21:15:00,2020-01-14
121.57056,25.05141,200090,環東大道,0.0,0.0,15.0,60.0,0.0,0.0,60.0,15.0,2020-01-14 12:25:00,2020-01-14
121.52283,25.0328,600468A,杭州南路二段,0.0,0.0,3.0,55.0,0.0,0.0,55.0,2.0,2020-01-14 19:39:00,2020-01-14
121.54545,25.04143,600336A,忠孝東路四段,1.0,46.0,19.0,38.0,0.0,0.0,38.0,26.0,2020-01-14 17:12:00,2020-01-14
121.54447,25.07721,600890A,大直橋,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 23:00:00,2020-01-14
121.51313,25.04281,600825A,重慶南路一段,0.0,0.0,2.0,40.0,5.0,44.0,42.0,4.0,2020-01-14 19:53:00,2020-01-14
121.4916,25.02288,200010,水源快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 02:55:00,2020-01-14
121.55891,25.05385,600082A,健康路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 21:07:00,2020-01-14
121.49752,25.09763,200050,洲美快速道路,7.0,49.0,2.0,59.0,0.0,0.0,51.0,4.0,2020-01-14 20:00:00,2020-01-14
121.59807,25.05839,200090,環東大道,0.0,0.0,5.0,73.0,0.0,0.0,73.0,3.0,2020-01-14 06:29:00,2020-01-14
121.53958,25.10194,600065A,仰德大道一段,0.0,0.0,5.0,36.0,1.0,51.0,38.0,8.0,2020-01-14 07:15:00,2020-01-14
121.49953,25.0922,600296A,延平北路六段,0.0,0.0,3.0,50.0,0.0,0.0,50.0,2.0,2020-01-14 14:37:00,2020-01-14
121.54308,25.03184,600322A,復興南路二段,0.0,0.0,3.0,65.0,0.0,0.0,65.0,1.0,2020-01-14 21:16:00,2020-01-14
121.49191,25.03247,600613A,環河南路二段,0.0,0.0,2.0,37.0,1.0,45.0,39.0,3.0,2020-01-14 05:59:00,2020-01-14
121.49908,25.10525,200050,洲美快速道路,0.0,0.0,11.0,76.0,0.0,0.0,76.0,8.0,2020-01-14 12:04:00,2020-01-14
121.54856,25.03083,600393A,敦化南路二段,2.0,35.0,3.0,46.0,0.0,0.0,41.0,7.0,2020-01-14 17:03:00,2020-01-14
121.57474,25.07087,600721A,舊宗路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 01:30:00,2020-01-14
121.53288,25.06636,600493A,松江路,1.0,27.0,0.0,0.0,0.0,0.0,27.0,4.0,2020-01-14 00:39:00,2020-01-14
121.55138,25.04452,200020,市民大道高架道路,0.0,0.0,9.0,67.0,0.0,0.0,67.0,8.0,2020-01-14 22:58:00,2020-01-14
121.51191,25.08834,600043A,中正路,0.0,0.0,8.0,57.0,0.0,0.0,57.0,3.0,2020-01-14 13:08:00,2020-01-14
121.62187,25.05829,200090,環東大道,0.0,0.0,1.0,86.0,0.0,0.0,43.0,1.0,2020-01-14 05:43:00,2020-01-14
121.53102,25.01416,600350A,思源街,0.0,0.0,2.0,39.0,0.0,0.0,39.0,2.0,2020-01-14 09:11:00,2020-01-14
121.52276,25.0682,600028A,中山北路三段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 15:02:00,2020-01-14
121.57242,25.06735,200070,堤頂大道,0.0,0.0,1.0,15.0,1.0,14.0,14.0,3.0,2020-01-14 07:25:00,2020-01-14
121.51197,25.08786,600043A,中正路,0.0,0.0,3.0,49.0,0.0,0.0,49.0,1.0,2020-01-14 20:15:00,2020-01-14
121.62175,25.05822,200090,環東大道,0.0,0.0,5.0,87.0,0.0,0.0,87.0,3.0,2020-01-14 09:16:00,2020-01-14
121.50133,25.03108,600731A,莒光路,0.0,0.0,1.0,30.0,0.0,0.0,30.0,1.0,2020-01-14 16:20:00,2020-01-14
121.51509,25.04663,600343A,忠孝西路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 17:26:00,2020-01-14
121.5435,25.02135,200040,建國南北快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 06:24:00,2020-01-14
121.5765,25.0547,200090,環東大道,0.0,0.0,10.0,73.0,1.0,83.0,73.0,7.0,2020-01-14 18:28:00,2020-01-14
121.54856,25.03083,600393A,敦化南路二段,0.0,0.0,1.0,42.0,0.0,0.0,42.0,1.0,2020-01-14 06:10:00,2020-01-14
121.53322,25.06844,200040,建國南北快速道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 05:45:00,2020-01-14
121.50829,25.04865,600343A,忠孝西路二段,0.0,0.0,3.0,41.0,0.0,0.0,41.0,4.0,2020-01-14 06:20:00,2020-01-14
121.54681,25.0623,600529A,民權東路三段,1.0,36.0,0.0,0.0,3.0,44.0,42.0,2.0,2020-01-14 20:49:00,2020-01-14
121.52449,25.1048,600031A,中山北路六段,1.0,14.0,16.0,25.0,0.0,0.0,24.0,31.0,2020-01-14 19:00:00,2020-01-14
121.52997,25.05374,600141A,吉林路,0.0,0.0,2.0,35.0,0.0,0.0,35.0,3.0,2020-01-14 21:56:00,2020-01-14
121.57056,25.05141,200090,環東大道,0.0,0.0,1.0,85.0,0.0,0.0,85.0,1.0,2020-01-14 02:11:00,2020-01-14
121.53658,25.05638,200040,建國南北快速道路,5.0,65.0,24.0,66.0,0.0,0.0,65.0,18.0,2020-01-14 15:54:00,2020-01-14
121.61386,25.06097,600012A,三重路,0.0,0.0,10.0,6.0,0.0,0.0,6.0,72.0,2020-01-14 18:33:00,2020-01-14
121.52574,25.06552,600498A,林森北路,0.0,0.0,2.0,42.0,0.0,0.0,42.0,2.0,2020-01-14 02:47:00,2020-01-14
121.505,25.08541,600043A,中正路,0.0,0.0,18.0,37.0,0.0,0.0,37.0,12.0,2020-01-14 15:26:00,2020-01-14
121.53288,25.06636,600493A,松江路,0.0,0.0,4.0,49.0,0.0,0.0,49.0,2.0,2020-01-14 19:53:00,2020-01-14
121.52944,25.0683,600523A,民族東路,7.0,50.0,0.0,0.0,0.0,0.0,50.0,12.0,2020-01-14 19:34:00,2020-01-14
121.54746,25.01974,200060,基隆路高架道路,0.0,0.0,18.0,46.0,0.0,0.0,46.0,25.0,2020-01-14 09:09:00,2020-01-14
121.57461,25.06915,600721A,舊宗路二段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 22:47:00,2020-01-14
121.54937,25.05963,600389A,敦化北路,2.0,53.0,5.0,39.0,0.0,0.0,43.0,3.0,2020-01-14 05:17:00,2020-01-14
121.5254,25.077,600029A,中山北路四段,0.0,0.0,2.0,43.0,0.0,0.0,43.0,2.0,2020-01-14 00:43:00,2020-01-14
121.51268,25.03384,600826A,重慶南路二段,0.0,0.0,5.0,48.0,0.0,0.0,48.0,2.0,2020-01-14 07:23:00,2020-01-14
121.52886,25.04906,200080,新生高架道路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 01:54:00,2020-01-14
121.56861,25.0614,600178A,塔悠路,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 05:35:00,2020-01-14
121.53469,25.01061,600559A,汀州路三段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 17:40:00,2020-01-14
121.54097,25.09708,600696A,至善路一段,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 11:15:00,2020-01-14
121.48869,25.02927,200100,環河快速道路,0.0,0.0,4.0,65.0,0.0,0.0,65.0,1.0,2020-01-14 13:20:00,2020-01-14
121.53522,25.09831,600644A,福林路,0.0,0.0,1.0,54.0,0.0,0.0,54.0,0.0,2020-01-14 22:16:00,2020-01-14
121.49294,25.01907,200010,水源快速道路,1.0,67.0,10.0,64.0,0.0,0.0,64.0,8.0,2020-01-14 22:13:00,2020-01-14
121.558,25.00855,600797A,辛亥路四段,0.0,0.0,21.0,58.0,0.0,0.0,58.0,8.0,2020-01-14 16:16:00,2020-01-14
121.51257,25.08263,600824A,重慶北路四段,1.0,65.0,3.0,69.0,0.0,0.0,68.0,2.0,2020-01-14 00:39:00,2020-01-14
